MOLCLIN	REFNO	INVNO	ORDERNO	PREFIX	GENE	SUFFIX
C	10003	1	1		IGH/BCL2	
C	10003	1	2		IGH	+ 
C	10003	1	3		BCL2	+ 
C	10004	1	1		TCF3/PBX1	
C	10004	1	2		TCF3	+ 
C	10004	1	3		PBX1	+ 
C	10012	1	1		IGH/CCND1	
C	10012	1	2		IGH	+ 
C	10012	1	3		CCND1	+ 
C	10014	1	1		ETV6/NTRK3	
C	10014	1	2		ETV6	+ 
C	10014	1	3		NTRK3	+ 
C	10014	2	1		ETV6/NTRK3	
C	10014	2	2		ETV6	+ 
C	10014	2	3		NTRK3	+ 
C	10048	1	1		BIRC3/MALT1	
C	10048	1	2		BIRC3	+ 
C	10048	1	3		MALT1	+ 
C	10065	1	1		IGH/WHSC1	
C	10065	1	2		IGH	+ 
C	10065	1	3		WHSC1	+ 
C	10088	1	1		ETV6/RUNX1	
C	10088	1	2		ETV6	+ 
C	10088	1	3		RUNX1	+ 
C	10099	1	1		KMT2A	+ 
C	10108	1	1		BCR/ABL1	
C	10108	1	2		BCR	+ 
C	10108	1	3		ABL1	+ 
C	10115	1	1		IGH/MYC	
C	10115	1	2		IGH	+ 
C	10115	1	3		MYC	+ 
C	10142	1	1		IGH/CCND1	
C	10142	1	2		IGH	+ 
C	10142	1	3		CCND1	+ 
C	10142	1	4		IGH/FGFR3	
C	10142	1	5		IGH	+ 
C	10142	1	6		FGFR3	+ 
C	10142	1	7		IGH/MAF	
C	10142	1	8		IGH	+ 
C	10142	1	9		MAF	+ 
C	10150	1	1		BIRC3/MALT1	
C	10150	1	2		BIRC3	+ 
C	10150	1	3		MALT1	+ 
C	10160	1	1		IGH/CCND1	
C	10160	1	2		IGH	+ 
C	10160	1	3		CCND1	+ 
C	10163	1	1		RUNX1/RUNX1T1	
C	10163	1	2		RUNX1	+ 
C	10163	1	3		RUNX1T1	+ 
C	10175	1	1		CCDC6/RET	
C	10175	1	2		CCDC6	+ 
C	10175	1	3		RET	+ 
C	10175	1	4		NCOA4/RET	
C	10175	1	5		NCOA4	+ 
C	10175	1	6		RET	+ 
C	10175	1	7		PRKAR1A/RET	
C	10175	1	8		PRKAR1A	+ 
C	10175	1	9		RET	+ 
C	10199	1	1		SS18/SSX1	
C	10199	1	2		SS18	+ 
C	10199	1	3		SSX1	+ 
C	10199	1	4		SS18/SSX2	
C	10199	1	5		SS18	+ 
C	10199	1	6		SSX2	+ 
C	10241	1	1		BCR/ABL1	
C	10241	1	2		BCR	+ 
C	10241	1	3		ABL1	+ 
C	10249	1	1		BCR/ABL1	
C	10249	1	2		BCR	+ 
C	10249	1	3		ABL1	+ 
C	10271	1	1		PICALM/MLLT10	
C	10271	1	2		PICALM	+ 
C	10271	1	3		MLLT10	+ 
C	10284	1	1		KMT2A	+ 
C	10288	1	1		BCL6	+ 
C	10291	1	1		IGH/BCL2	
C	10291	1	2		IGH	+ 
C	10291	1	3		BCL2	+ 
C	10315	1	1		EWSR1/WT1	
C	10315	1	2		EWSR1	+ 
C	10315	1	3		WT1	+ 
C	10326	1	1		RBM15/MKL1	
C	10326	1	2		RBM15	+ 
C	10326	1	3		MKL1	+ 
C	10334	1	1		BCR/ABL1	
C	10334	1	2		BCR	+ 
C	10334	1	3		ABL1	+ 
C	10339	1	1		BCR/ABL1	
C	10339	1	2		BCR	+ 
C	10339	1	3		ABL1	+ 
C	10339	1	4		KMT2A/AFF1	
C	10339	1	5		KMT2A	+ 
C	10339	1	6		AFF1	+ 
C	10340	1	1		BCL11B/TLX3	
C	10340	1	2		BCL11B	+ 
C	10340	1	3		TLX3	+ 
C	10346	1	1		BIRC3/MALT1	
C	10346	1	2		BIRC3	+ 
C	10346	1	3		MALT1	+ 
C	10357	1	1		BCL6	+ 
C	10361	1	1	+ 	RUNX1	
C	10369	1	1		KMT2A	+ 
C	10419	1	1	+ 	RUNX1	
C	10428	1	1		IGH/CCND1	
C	10428	1	2		IGH	+ 
C	10428	1	3		CCND1	+ 
C	10436	1	1		BIRC3/MALT1	
C	10436	1	2		BIRC3	+ 
C	10436	1	3		MALT1	+ 
C	10437	1	1		IGH/BCL2	
C	10437	1	2		IGH	+ 
C	10437	1	3		BCL2	+ 
C	10442	1	1		SS18/SSX	
C	10442	1	2		SS18	+ 
C	10442	1	3		SSX	+ 
C	10450	1	1		BCR/ABL1	
C	10450	1	2		BCR	+ 
C	10450	1	3		ABL1	+ 
C	10465	1	1		ETV6/RUNX1	
C	10465	1	2		ETV6	+ 
C	10465	1	3		RUNX1	+ 
C	10512	1	10		TRD/TLX1	
C	10512	1	11		TRD	+ 
C	10512	1	12		TLX1	+ 
C	10512	1	1		BCL11B/TLX3	
C	10512	1	2		BCL11B	+ 
C	10512	1	3		TLX3	+ 
C	10512	1	4		STIL/TAL1	
C	10512	1	5		STIL	+ 
C	10512	1	6		TAL1	+ 
C	10512	1	7		TRB/TLX1	
C	10512	1	8		TRB	+ 
C	10512	1	9		TLX1	+ 
C	10544	1	1		IGH/PAX5	
C	10544	1	2		IGH	+ 
C	10544	1	3		PAX5	+ 
C	10548	1	1		IGH/CCND1	
C	10548	1	2		IGH	+ 
C	10548	1	3		CCND1	+ 
C	10548	1	4		IGH/FGFR3	
C	10548	1	5		IGH	+ 
C	10548	1	6		FGFR3	+ 
C	10575	1	1		ETV6/RUNX1	
C	10575	1	2		ETV6	+ 
C	10575	1	3		RUNX1	+ 
C	10582	1	1		FUS/CREB3L2	
C	10582	1	2		FUS	+ 
C	10582	1	3		CREB3L2	+ 
C	10591	1	1		ETV6/NTRK3	
C	10591	1	2		ETV6	+ 
C	10591	1	3		NTRK3	+ 
C	10613	1	1		BIRC3/MALT1	
C	10613	1	2		BIRC3	+ 
C	10613	1	3		MALT1	+ 
C	10631	1	1		CBFB/MYH11	
C	10631	1	2		CBFB	+ 
C	10631	1	3		MYH11	+ 
C	10634	1	1		SS18/SSX1	
C	10634	1	2		SS18	+ 
C	10634	1	3		SSX1	+ 
C	10634	1	4		SS18/SSX2	
C	10634	1	5		SS18	+ 
C	10634	1	6		SSX2	+ 
C	10638	1	1		BCL6	+ 
C	10677	1	1		IGH/BCL2	
C	10677	1	2		IGH	+ 
C	10677	1	3		BCL2	+ 
C	10681	1	1		FIP1L1/PDGFRA	
C	10681	1	2		FIP1L1	+ 
C	10681	1	3		PDGFRA	+ 
C	10700	1	1		KMT2A	+ 
C	10860	1	1		COL1A1/PDGFB	
C	10860	1	2		COL1A1	+ 
C	10860	1	3		PDGFB	+ 
C	10904	1	1		ETV6/RUNX1	
C	10904	1	2		ETV6	+ 
C	10904	1	3		RUNX1	+ 
C	10920	1	1		KMT2A	+ 
C	10923	1	1		MALAT1/TFEB	
C	10923	1	2		MALAT1	+ 
C	10923	1	3		TFEB	+ 
C	10933	1	1		BCR/ABL1	
C	10933	1	2		BCR	+ 
C	10933	1	3		ABL1	+ 
C	10949	1	1		KMT2A	+ 
C	10949	2	1		KMT2A	+ 
C	10951	1	1		SS18/SSX1	
C	10951	1	2		SS18	+ 
C	10951	1	3		SSX1	+ 
C	10951	1	4		SS18/SSX2	
C	10951	1	5		SS18	+ 
C	10951	1	6		SSX2	+ 
C	10971	1	1		BCR/ABL1	
C	10971	1	2		BCR	+ 
C	10971	1	3		ABL1	+ 
C	10971	1	4		KMT2A/AFF1	
C	10971	1	5		KMT2A	+ 
C	10971	1	6		AFF1	+ 
C	10971	1	7		TCF3/PBX1	
C	10971	1	8		TCF3	+ 
C	10971	1	9		PBX1	+ 
C	10977	1	1		BCR/ABL1	
C	10977	1	2		BCR	+ 
C	10977	1	3		ABL1	+ 
C	10986	1	1		FUS/CREB3L2	
C	10986	1	2		FUS	+ 
C	10986	1	3		CREB3L2	+ 
C	10987	1	1		KMT2A	+ 
C	11009	1	1		BCL6	+ 
C	11009	1	2		IGH/BCL2	
C	11009	1	3		IGH	+ 
C	11009	1	4		BCL2	+ 
C	11011	1	1		CDH11/USP6	
C	11011	1	2		CDH11	+ 
C	11011	1	3		USP6	+ 
C	11015	1	1		PML/RARA	
C	11015	1	2		PML	+ 
C	11015	1	3		RARA	+ 
C	11018	1	1		TFE3	+ 
C	11026	1	1		BIRC3/MALT1	
C	11026	1	2		BIRC3	+ 
C	11026	1	3		MALT1	+ 
C	11027	1	1		IGH/FGFR3	
C	11027	1	2		IGH	+ 
C	11027	1	3		FGFR3	+ 
C	11061	1	1		IGH/BCL2	
C	11061	1	2		IGH	+ 
C	11061	1	3		BCL2	+ 
C	11062	1	1		PML/RARA	
C	11062	1	2		PML	+ 
C	11062	1	3		RARA	+ 
C	11067	1	1		BIRC3/MALT1	
C	11067	1	2		BIRC3	+ 
C	11067	1	3		MALT1	+ 
C	11072	1	1		IGH/MYC	
C	11072	1	2		IGH	+ 
C	11072	1	3		MYC	+ 
C	11090	1	1		EWSR1/ERG	
C	11090	1	2		EWSR1	+ 
C	11090	1	3		ERG	+ 
C	11090	1	4		EWSR1/FLI1	
C	11090	1	5		EWSR1	+ 
C	11090	1	6		FLI1	+ 
C	11090	1	7		EWSR1	+ 
C	11091	1	1		PML/RARA	
C	11091	1	2		PML	+ 
C	11091	1	3		RARA	+ 
C	11094	1	1		IGH/PAX5	
C	11094	1	2		IGH	+ 
C	11094	1	3		PAX5	+ 
C	11107	1	1		IGH	+ 
C	11108	1	1		BCR/ABL1	
C	11108	1	2		BCR	+ 
C	11108	1	3		ABL1	+ 
C	11113	1	10		IGH/MAF	
C	11113	1	11		IGH	+ 
C	11113	1	12		MAF	+ 
C	11113	1	13		IGH/MAFB	
C	11113	1	14		IGH	+ 
C	11113	1	15		MAFB	+ 
C	11113	1	1		IGH/CCND1	
C	11113	1	2		IGH	+ 
C	11113	1	3		CCND1	+ 
C	11113	1	4		IGH/CCND3	
C	11113	1	5		IGH	+ 
C	11113	1	6		CCND3	+ 
C	11113	1	7		IGH/FGFR3	
C	11113	1	8		IGH	+ 
C	11113	1	9		FGFR3	+ 
C	11118	1	1		EWSR1/FLI1	
C	11118	1	2		EWSR1	+ 
C	11118	1	3		FLI1	+ 
C	11130	1	1		BCL6	+ 
C	11132	1	1		FIP1L1/PDGFRA	
C	11132	1	2		FIP1L1	+ 
C	11132	1	3		PDGFRA	+ 
C	11138	1	1		FIP1L1/PDGFRA	
C	11138	1	2		FIP1L1	+ 
C	11138	1	3		PDGFRA	+ 
C	11155	1	1		ETV6/RUNX1	
C	11155	1	2		ETV6	+ 
C	11155	1	3		RUNX1	+ 
C	11159	1	1		NUP98/RAP1GDS1	
C	11159	1	2		NUP98	+ 
C	11159	1	3		RAP1GDS1	+ 
C	11173	1	1		IGH/CCND1	
C	11173	1	2		IGH	+ 
C	11173	1	3		CCND1	+ 
C	11173	1	4		IGH/FGFR3	
C	11173	1	5		IGH	+ 
C	11173	1	6		FGFR3	+ 
C	11173	1	7		IGH/MAF	
C	11173	1	8		IGH	+ 
C	11173	1	9		MAF	+ 
C	11184	1	1		ETV6/RUNX1	
C	11184	1	2		ETV6	+ 
C	11184	1	3		RUNX1	+ 
C	11190	1	1	+ 	MYCN	
C	11191	1	1		TMPRSS2/ERG	
C	11191	1	2		TMPRSS2	+ 
C	11191	1	3		ERG	+ 
C	11191	1	4		TMPRSS2/ETV1	
C	11191	1	5		TMPRSS2	+ 
C	11191	1	6		ETV1	+ 
C	11204	1	1		BCL2	+ 
C	11204	1	2		BCL6	+ 
C	11205	1	1		IGH/FGFR3	
C	11205	1	2		IGH	+ 
C	11205	1	3		FGFR3	+ 
C	11209	1	1		IGH/CCND1	
C	11209	1	2		IGH	+ 
C	11209	1	3		CCND1	+ 
C	11209	1	4		IGH/FGFR3	
C	11209	1	5		IGH	+ 
C	11209	1	6		FGFR3	+ 
C	11232	1	1		CBFB/MYH11	
C	11232	1	2		CBFB	+ 
C	11232	1	3		MYH11	+ 
C	11240	1	1	+ 	MYCN	
C	11243	1	1		IGH/CCND1	
C	11243	1	2		IGH	+ 
C	11243	1	3		CCND1	+ 
C	11243	1	4		IGH/FGFR3	
C	11243	1	5		IGH	+ 
C	11243	1	6		FGFR3	+ 
C	11243	1	7		IGH/MAF	
C	11243	1	8		IGH	+ 
C	11243	1	9		MAF	+ 
C	11262	1	1		KMT2A/AFF1	
C	11262	1	2		KMT2A	+ 
C	11262	1	3		AFF1	+ 
C	11262	1	4		KMT2A	+ 
C	11300	1	1		IGH/WHSC1	
C	11300	1	2		IGH	+ 
C	11300	1	3		WHSC1	+ 
C	11322	1	1		IGH/BCL2	
C	11322	1	2		IGH	+ 
C	11322	1	3		BCL2	+ 
C	11322	1	4		MYC	+ 
C	11337	1	1		CRTC1/MAML2	
C	11337	1	2		CRTC1	+ 
C	11337	1	3		MAML2	+ 
C	11373	1	1		RUNX1/RUNX1T1	
C	11373	1	2		RUNX1	+ 
C	11373	1	3		RUNX1T1	+ 
C	11377	1	1		KMT2A	+ 
C	11408	1	1		ETV6/RUNX1	
C	11408	1	2		ETV6	+ 
C	11408	1	3		RUNX1	+ 
C	11419	1	1		BCR/ABL1	
C	11419	1	2		BCR	+ 
C	11419	1	3		ABL1	+ 
C	11459	1	1		MNX1/ETV6	
C	11459	1	2		MNX1	+ 
C	11459	1	3		ETV6	+ 
C	11460	1	1		TMPRSS2/ERG	
C	11460	1	2		TMPRSS2	+ 
C	11460	1	3		ERG	+ 
C	11475	1	1		RUNX1/MECOM	
C	11475	1	2		RUNX1	+ 
C	11475	1	3		MECOM	+ 
C	11475	2	1		RUNX1/MECOM	
C	11475	2	2		RUNX1	+ 
C	11475	2	3		MECOM	+ 
C	11476	1	1		KMT2A	+ 
C	11486	1	1		ETV6/RUNX1	
C	11486	1	2		ETV6	+ 
C	11486	1	3		RUNX1	+ 
C	11496	1	1		ETV6/NTRK3	
C	11496	1	2		ETV6	+ 
C	11496	1	3		NTRK3	+ 
C	11498	1	1	+ 	MYCN	
C	11501	1	1		SS18/SSX1	
C	11501	1	2		SS18	+ 
C	11501	1	3		SSX1	+ 
C	11501	1	4		SS18/SSX2	
C	11501	1	5		SS18	+ 
C	11501	1	6		SSX2	+ 
C	11502	1	1		ETV6/RUNX1	
C	11502	1	2		ETV6	+ 
C	11502	1	3		RUNX1	+ 
C	11508	1	1		ETV6/RUNX1	
C	11508	1	2		ETV6	+ 
C	11508	1	3		RUNX1	+ 
C	11515	1	1		BCR/ABL1	
C	11515	1	2		BCR	+ 
C	11515	1	3		ABL1	+ 
C	11516	1	1		KMT2A	+ 
C	11535	1	1		TCF3/PBX1	
C	11535	1	2		TCF3	+ 
C	11535	1	3		PBX1	+ 
C	11555	1	1		KMT2A	+ 
C	11566	1	1		KMT2A	+ 
C	11596	1	1		ETV6/RUNX1	
C	11596	1	2		ETV6	+ 
C	11596	1	3		RUNX1	+ 
C	11615	1	10		IGH/MAF	
C	11615	1	11		IGH	+ 
C	11615	1	12		MAF	+ 
C	11615	1	13		IGH/MAFB	
C	11615	1	14		IGH	+ 
C	11615	1	15		MAFB	+ 
C	11615	1	1		IGH/CCND1	
C	11615	1	2		IGH	+ 
C	11615	1	3		CCND1	+ 
C	11615	1	4		IGH/CCND3	
C	11615	1	5		IGH	+ 
C	11615	1	6		CCND3	+ 
C	11615	1	7		IGH/FGFR3	
C	11615	1	8		IGH	+ 
C	11615	1	9		FGFR3	+ 
C	11627	1	1		NUP98	+ 
C	11627	2	1		NUP98	+ 
C	11628	1	1		IGH/CCND1	
C	11628	1	2		IGH	+ 
C	11628	1	3		CCND1	+ 
C	11628	1	4		IGH/FGFR3	
C	11628	1	5		IGH	+ 
C	11628	1	6		FGFR3	+ 
C	11628	1	7		IGH/MAF	
C	11628	1	8		IGH	+ 
C	11628	1	9		MAF	+ 
C	11665	1	1		IGH/BCL2	
C	11665	1	2		IGH	+ 
C	11665	1	3		BCL2	+ 
C	11684	1	1		PICALM/MLLT10	
C	11684	1	2		PICALM	+ 
C	11684	1	3		MLLT10	+ 
C	11684	1	4		TAL1	+ 
C	11684	1	5		TLX1	+ 
C	11684	1	6		TLX3	+ 
C	11718	1	1		TMPRSS2/ERG	
C	11718	1	2		TMPRSS2	+ 
C	11718	1	3		ERG	+ 
C	11718	1	4		TMPRSS2/ETV4	
C	11718	1	5		TMPRSS2	+ 
C	11718	1	6		ETV4	+ 
C	11733	1	1		TMPRSS2/ERG	
C	11733	1	2		TMPRSS2	+ 
C	11733	1	3		ERG	+ 
C	11734	1	1		TMPRSS2/ERG	
C	11734	1	2		TMPRSS2	+ 
C	11734	1	3		ERG	+ 
C	11750	1	1		NUP214/ABL1	
C	11750	1	2		NUP214	+ 
C	11750	1	3		ABL1	+ 
C	11756	1	1		BCR/ABL1	
C	11756	1	2		BCR	+ 
C	11756	1	3		ABL1	+ 
C	11769	1	1		JAZF1/SUZ12	
C	11769	1	2		JAZF1	+ 
C	11769	1	3		SUZ12	+ 
C	11774	1	1		TRB/HOXA	
C	11774	1	2		TRB	+ 
C	11774	1	3		HOXA	+ 
C	11775	1	1		IGH/CCND1	
C	11775	1	2		IGH	+ 
C	11775	1	3		CCND1	+ 
C	11775	1	4		IGH/FGFR3	
C	11775	1	5		IGH	+ 
C	11775	1	6		FGFR3	+ 
C	11775	1	7		IGH/MAF	
C	11775	1	8		IGH	+ 
C	11775	1	9		MAF	+ 
C	11804	1	1		BCR/ABL1	
C	11804	1	2		BCR	+ 
C	11804	1	3		ABL1	+ 
C	11804	1	4		ETV6/RUNX1	
C	11804	1	5		ETV6	+ 
C	11804	1	6		RUNX1	+ 
C	11806	1	1		BCR/ABL1	
C	11806	1	2		BCR	+ 
C	11806	1	3		ABL1	+ 
C	11806	1	4		KMT2A	+ 
C	11825	1	1		BCR/ABL1	
C	11825	1	2		BCR	+ 
C	11825	1	3		ABL1	+ 
C	11827	1	1		TMPRSS2/ERG	
C	11827	1	2		TMPRSS2	+ 
C	11827	1	3		ERG	+ 
C	11828	1	1		TMPRSS2/ERG	
C	11828	1	2		TMPRSS2	+ 
C	11828	1	3		ERG	+ 
C	11828	1	4		TMPRSS2/ETV1	
C	11828	1	5		TMPRSS2	+ 
C	11828	1	6		ETV1	+ 
C	11834	1	1	+ 	RUNX1	
C	11844	1	1		IGH/CCND1	
C	11844	1	2		IGH	+ 
C	11844	1	3		CCND1	+ 
C	11855	1	1		CBFB/MYH11	
C	11855	1	2		CBFB	+ 
C	11855	1	3		MYH11	+ 
C	11887	1	1		ETV6/RUNX1	
C	11887	1	2		ETV6	+ 
C	11887	1	3		RUNX1	+ 
C	11892	1	1		ETV6/RUNX1	
C	11892	1	2		ETV6	+ 
C	11892	1	3		RUNX1	+ 
C	11893	1	1		BCR/ABL1	
C	11893	1	2		BCR	+ 
C	11893	1	3		ABL1	+ 
C	11899	1	10		MYC	+ 
C	11899	1	1		IGH/CCND1	
C	11899	1	2		IGH	+ 
C	11899	1	3		CCND1	+ 
C	11899	1	4		IGH/FGFR3	
C	11899	1	5		IGH	+ 
C	11899	1	6		FGFR3	+ 
C	11899	1	7		IGH/MAF	
C	11899	1	8		IGH	+ 
C	11899	1	9		MAF	+ 
C	11902	1	1		BCR/ABL1	
C	11902	1	2		BCR	+ 
C	11902	1	3		ABL1	+ 
C	11902	1	4		KMT2A	+ 
C	11927	1	1		BCR/ABL1	
C	11927	1	2		BCR	+ 
C	11927	1	3		ABL1	+ 
C	11927	1	4		KMT2A/AFF1	
C	11927	1	5		KMT2A	+ 
C	11927	1	6		AFF1	+ 
C	11927	1	7		TCF3/PBX1	
C	11927	1	8		TCF3	+ 
C	11927	1	9		PBX1	+ 
C	11934	1	1		TMPRSS2/ERG	
C	11934	1	2		TMPRSS2	+ 
C	11934	1	3		ERG	+ 
C	11943	1	1		IGH/CCND1	
C	11943	1	2		IGH	+ 
C	11943	1	3		CCND1	+ 
C	11943	1	4		IGH/FGFR3	
C	11943	1	5		IGH	+ 
C	11943	1	6		FGFR3	+ 
C	11957	1	1		TMPRSS2/ERG	
C	11957	1	2		TMPRSS2	+ 
C	11957	1	3		ERG	+ 
C	11971	1	1		TMPRSS2/ERG	
C	11971	1	2		TMPRSS2	+ 
C	11971	1	3		ERG	+ 
C	11971	1	4		TMPRSS2/ETV1	
C	11971	1	5		TMPRSS2	+ 
C	11971	1	6		ETV1	+ 
C	11971	1	7		TMPRSS2/ETV4	
C	11971	1	8		TMPRSS2	+ 
C	11971	1	9		ETV4	+ 
C	11987	1	1		PAX3/FOXO1	
C	11987	1	2		PAX3	+ 
C	11987	1	3		FOXO1	+ 
C	11987	1	4		PAX7/FOXO1	
C	11987	1	5		PAX7	+ 
C	11987	1	6		FOXO1	+ 
C	11997	1	1		TMPRSS2/ERG	
C	11997	1	2		TMPRSS2	+ 
C	11997	1	3		ERG	+ 
C	12006	1	1		PAX3/FOXO1	
C	12006	1	2		PAX3	+ 
C	12006	1	3		FOXO1	+ 
C	12006	1	4		PAX7/FOXO1	
C	12006	1	5		PAX7	+ 
C	12006	1	6		FOXO1	+ 
C	12008	1	1		PML/RARA	
C	12008	1	2		PML	+ 
C	12008	1	3		RARA	+ 
C	12009	1	1		IGH/CCND1	
C	12009	1	2		IGH	+ 
C	12009	1	3		CCND1	+ 
C	12009	1	4		IGH/FGFR3	
C	12009	1	5		IGH	+ 
C	12009	1	6		FGFR3	+ 
C	12039	1	1		BCR/ABL1	
C	12039	1	2		BCR	+ 
C	12039	1	3		ABL1	+ 
C	12040	1	1		TRB/MYB	
C	12040	1	2		TRB	+ 
C	12040	1	3		MYB	+ 
C	12058	1	1		ETV6/RUNX1	
C	12058	1	2		ETV6	+ 
C	12058	1	3		RUNX1	+ 
C	12062	1	1		PML/RARA	
C	12062	1	2		PML	+ 
C	12062	1	3		RARA	+ 
C	12069	1	1		BCR/ABL1	
C	12069	1	2		BCR	+ 
C	12069	1	3		ABL1	+ 
C	12069	1	4		KMT2A/AFF1	
C	12069	1	5		KMT2A	+ 
C	12069	1	6		AFF1	+ 
C	12069	1	7		TCF3/PBX1	
C	12069	1	8		TCF3	+ 
C	12069	1	9		PBX1	+ 
C	12075	1	1		FUS/DDIT3	
C	12075	1	2		FUS	+ 
C	12075	1	3		DDIT3	+ 
C	12088	1	1		TFE3	+ 
C	12090	1	1		TMPRSS2/ERG	
C	12090	1	2		TMPRSS2	+ 
C	12090	1	3		ERG	+ 
C	12112	1	1		BCR/ABL1	
C	12112	1	2		BCR	+ 
C	12112	1	3		ABL1	+ 
C	12126	1	1		CBFB/MYH11	
C	12126	1	2		CBFB	+ 
C	12126	1	3		MYH11	+ 
C	12127	1	1		KMT2A/AFF1	
C	12127	1	2		KMT2A	+ 
C	12127	1	3		AFF1	+ 
C	12130	1	1		TCF3/HLF	
C	12130	1	2		TCF3	+ 
C	12130	1	3		HLF	+ 
C	12138	1	1		IGH/FGFR3	
C	12138	1	2		IGH	+ 
C	12138	1	3		FGFR3	+ 
C	12138	1	4		IGH/WHSC1	
C	12138	1	5		IGH	+ 
C	12138	1	6		WHSC1	+ 
C	12140	1	1		IGH	+ 
C	12147	1	1		TMPRSS2/ERG	
C	12147	1	2		TMPRSS2	+ 
C	12147	1	3		ERG	+ 
C	12153	2	1		FUS/CREB3L1	
C	12153	2	2		FUS	+ 
C	12153	2	3		CREB3L1	+ 
C	12153	3	1		FUS/CREB3L2	
C	12153	3	2		FUS	+ 
C	12153	3	3		CREB3L2	+ 
C	12163	1	1		TMPRSS2	+ 
C	12169	1	1		KMT2A	+ 
C	12170	1	1		IGH/CCND1	
C	12170	1	2		IGH	+ 
C	12170	1	3		CCND1	+ 
C	12170	1	4		IGH/FGFR3	
C	12170	1	5		IGH	+ 
C	12170	1	6		FGFR3	+ 
C	12172	1	1		FIP1L1/PDGFRA	
C	12172	1	2		FIP1L1	+ 
C	12172	1	3		PDGFRA	+ 
C	12173	1	10		IGH/MALT1	
C	12173	1	11		IGH	+ 
C	12173	1	12		MALT1	+ 
C	12173	1	1		BIRC3/MALT1	
C	12173	1	2		BIRC3	+ 
C	12173	1	3		MALT1	+ 
C	12173	1	4		IGH/BCL10	
C	12173	1	5		IGH	+ 
C	12173	1	6		BCL10	+ 
C	12173	1	7		IGH/FOXP1	
C	12173	1	8		IGH	+ 
C	12173	1	9		FOXP1	+ 
C	12195	1	1		IGH/BCL2	
C	12195	1	2		IGH	+ 
C	12195	1	3		BCL2	+ 
C	12220	1	1		BCL6	+ 
C	12220	1	2		IGH/BCL2	
C	12220	1	3		IGH	+ 
C	12220	1	4		BCL2	+ 
C	12220	1	5		MYC	+ 
C	12221	1	1		TMPRSS2/ERG	
C	12221	1	2		TMPRSS2	+ 
C	12221	1	3		ERG	+ 
C	12224	1	1		KMT2A	+ 
C	12237	1	1		IGH/MYC	
C	12237	1	2		IGH	+ 
C	12237	1	3		MYC	+ 
C	12237	1	4		MYC	+ 
C	12272	1	1		EML4/ALK	
C	12272	1	2		EML4	+ 
C	12272	1	3		ALK	+ 
C	12273	1	1		MECOM	+ 
C	12283	1	1		COL1A1/PDGFB	
C	12283	1	2		COL1A1	+ 
C	12283	1	3		PDGFB	+ 
C	12284	1	1		TMPRSS2/ERG	
C	12284	1	2		TMPRSS2	+ 
C	12284	1	3		ERG	+ 
C	12292	1	1		IGH/ID4	
C	12292	1	2		IGH	+ 
C	12292	1	3		ID4	+ 
C	12303	1	1		LMO2	+ 
C	12303	1	2		PICALM/MLLT10	
C	12303	1	3		PICALM	+ 
C	12303	1	4		MLLT10	+ 
C	12303	1	5		STIL/TAL1	
C	12303	1	6		STIL	+ 
C	12303	1	7		TAL1	+ 
C	12303	1	8		TLX1	+ 
C	12303	1	9		TLX3	+ 
C	12321	1	1		CRTC1/MAML2	
C	12321	1	2		CRTC1	+ 
C	12321	1	3		MAML2	+ 
C	12335	1	1	+ 	MYCN	
C	12352	1	1		IGH/FGFR3	
C	12352	1	2		IGH	+ 
C	12352	1	3		FGFR3	+ 
C	12353	1	1		RUNX1/RUNX1T1	
C	12353	1	2		RUNX1	+ 
C	12353	1	3		RUNX1T1	+ 
C	12367	1	1		BCR/ABL1	
C	12367	1	2		BCR	+ 
C	12367	1	3		ABL1	+ 
C	12372	1	1		BCR/ABL1	
C	12372	1	2		BCR	+ 
C	12372	1	3		ABL1	+ 
C	12372	1	4		KMT2A	+ 
C	12403	1	1		IGH/CCND1	
C	12403	1	2		IGH	+ 
C	12403	1	3		CCND1	+ 
C	12403	1	4		IGH/FGFR3	
C	12403	1	5		IGH	+ 
C	12403	1	6		FGFR3	+ 
C	12421	1	1		ETV6/RUNX1	
C	12421	1	2		ETV6	+ 
C	12421	1	3		RUNX1	+ 
C	12427	1	1		TMPRSS2/ERG	
C	12427	1	2		TMPRSS2	+ 
C	12427	1	3		ERG	+ 
C	12429	1	1		BCR/ABL1	
C	12429	1	2		BCR	+ 
C	12429	1	3		ABL1	+ 
C	12431	1	1		ETV6	+ 
C	12446	1	1		HMGA2/ACKR3	
C	12446	1	2		HMGA2	+ 
C	12446	1	3		ACKR3	+ 
C	12446	1	4		HMGA2/LPP	
C	12446	1	5		HMGA2	+ 
C	12446	1	6		LPP	+ 
C	12457	1	1		TMPRSS2/ERG	
C	12457	1	2		TMPRSS2	+ 
C	12457	1	3		ERG	+ 
C	12464	1	1		BIRC3/MALT1	
C	12464	1	2		BIRC3	+ 
C	12464	1	3		MALT1	+ 
C	12476	1	1		IGH/FGFR3	
C	12476	1	2		IGH	+ 
C	12476	1	3		FGFR3	+ 
C	12483	1	10	+ 	MYC	
C	12483	1	1		IGH/CCND1	
C	12483	1	2		IGH	+ 
C	12483	1	3		CCND1	+ 
C	12483	1	4		IGH/FGFR3	
C	12483	1	5		IGH	+ 
C	12483	1	6		FGFR3	+ 
C	12483	1	7		IGH/MAF	
C	12483	1	8		IGH	+ 
C	12483	1	9		MAF	+ 
C	12486	1	1		TMPRSS2/ERG	
